benchmark,mode,repeat,m,n,k,tile_n,stages,elapsed_ms,gflops,bytes_b_share,checksum
bench_software_dsmem_gemm,local,0,4096,64,4096,64,1,0.767456,2798.1847,2048,9.000000
bench_software_dsmem_gemm,local,1,4096,64,4096,64,1,0.765952,2803.6792,2048,9.000000
bench_software_dsmem_gemm,local,2,4096,64,4096,64,1,0.767776,2797.0184,2048,9.000000
bench_software_dsmem_gemm,local,3,4096,64,4096,64,1,0.763008,2814.4969,2048,9.000000
bench_software_dsmem_gemm,local,4,4096,64,4096,64,1,0.767840,2796.7852,2048,9.000000
bench_software_dsmem_gemm,local,5,4096,64,4096,64,1,0.762656,2815.7960,2048,9.000000
bench_software_dsmem_gemm,local,6,4096,64,4096,64,1,0.768128,2795.7368,2048,9.000000
bench_software_dsmem_gemm,local,7,4096,64,4096,64,1,0.763680,2812.0203,2048,9.000000
bench_software_dsmem_gemm,local,8,4096,64,4096,64,1,0.766336,2802.2742,2048,9.000000
bench_software_dsmem_gemm,local,9,4096,64,4096,64,1,0.764256,2809.9009,2048,9.000000
bench_software_dsmem_gemm,remote,0,4096,64,4096,64,1,1.034688,2075.4891,2048,9.000000
bench_software_dsmem_gemm,remote,1,4096,64,4096,64,1,1.037536,2069.7919,2048,9.000000
bench_software_dsmem_gemm,remote,2,4096,64,4096,64,1,1.033952,2076.9665,2048,9.000000
bench_software_dsmem_gemm,remote,3,4096,64,4096,64,1,1.034816,2075.2323,2048,9.000000
bench_software_dsmem_gemm,remote,4,4096,64,4096,64,1,1.034688,2075.4891,2048,9.000000
bench_software_dsmem_gemm,remote,5,4096,64,4096,64,1,1.034272,2076.3240,2048,9.000000
bench_software_dsmem_gemm,remote,6,4096,64,4096,64,1,1.033664,2077.5452,2048,9.000000
bench_software_dsmem_gemm,remote,7,4096,64,4096,64,1,1.034944,2074.9756,2048,9.000000
bench_software_dsmem_gemm,remote,8,4096,64,4096,64,1,1.033920,2077.0307,2048,9.000000
bench_software_dsmem_gemm,remote,9,4096,64,4096,64,1,1.032576,2079.7343,2048,9.000000
bench_software_dsmem_gemm,local,0,4096,64,4096,64,2,0.623616,3443.5995,2048,9.000000
bench_software_dsmem_gemm,local,1,4096,64,4096,64,2,0.626912,3425.4946,2048,9.000000
bench_software_dsmem_gemm,local,2,4096,64,4096,64,2,0.623168,3446.0750,2048,9.000000
bench_software_dsmem_gemm,local,3,4096,64,4096,64,2,0.624832,3436.8978,2048,9.000000
bench_software_dsmem_gemm,local,4,4096,64,4096,64,2,0.621472,3455.4793,2048,9.000000
bench_software_dsmem_gemm,local,5,4096,64,4096,64,2,0.625216,3434.7867,2048,9.000000
bench_software_dsmem_gemm,local,6,4096,64,4096,64,2,0.620704,3459.7548,2048,9.000000
bench_software_dsmem_gemm,local,7,4096,64,4096,64,2,0.624224,3440.2452,2048,9.000000
bench_software_dsmem_gemm,local,8,4096,64,4096,64,2,0.622176,3451.5695,2048,9.000000
bench_software_dsmem_gemm,local,9,4096,64,4096,64,2,0.624960,3436.1937,2048,9.000000
bench_software_dsmem_gemm,remote,0,4096,64,4096,64,2,1.034208,2076.4522,2048,9.000000
bench_software_dsmem_gemm,remote,1,4096,64,4096,64,2,1.034592,2075.6816,2048,9.000000
bench_software_dsmem_gemm,remote,2,4096,64,4096,64,2,1.033088,2078.7036,2048,9.000000
bench_software_dsmem_gemm,remote,3,4096,64,4096,64,2,1.032192,2080.5080,2048,9.000000
bench_software_dsmem_gemm,remote,4,4096,64,4096,64,2,1.032192,2080.5080,2048,9.000000
bench_software_dsmem_gemm,remote,5,4096,64,4096,64,2,1.032960,2078.9610,2048,9.000000
bench_software_dsmem_gemm,remote,6,4096,64,4096,64,2,1.031232,2082.4447,2048,9.000000
bench_software_dsmem_gemm,remote,7,4096,64,4096,64,2,1.032128,2080.6370,2048,9.000000
bench_software_dsmem_gemm,remote,8,4096,64,4096,64,2,1.032352,2080.1855,2048,9.000000
bench_software_dsmem_gemm,remote,9,4096,64,4096,64,2,1.032064,2080.7660,2048,9.000000
bench_software_dsmem_gemm,local,0,4096,64,4096,64,4,0.639840,3356.2822,2048,9.000000
bench_software_dsmem_gemm,local,1,4096,64,4096,64,4,0.637568,3368.2425,2048,9.000000
bench_software_dsmem_gemm,local,2,4096,64,4096,64,4,0.641984,3345.0735,2048,9.000000
bench_software_dsmem_gemm,local,3,4096,64,4096,64,4,0.634688,3383.5264,2048,9.000000
