benchmark,repeat,iters,cycles,elapsed_ns,cycles_per_roundtrip,ns_per_roundtrip
bench_dsmem_pingpong,0,10000,4432059,2181131.3976,443.2059,218.1131
bench_dsmem_pingpong,1,10000,4432059,2181131.3976,443.2059,218.1131
bench_dsmem_pingpong,2,10000,4432048,2181125.9843,443.2048,218.1126
bench_dsmem_pingpong,3,10000,4432059,2181131.3976,443.2059,218.1131
bench_dsmem_pingpong,4,10000,4432048,2181125.9843,443.2048,218.1126
bench_dsmem_pingpong,5,10000,4432059,2181131.3976,443.2059,218.1131
bench_dsmem_pingpong,6,10000,4432059,2181131.3976,443.2059,218.1131
bench_dsmem_pingpong,7,10000,4432048,2181125.9843,443.2048,218.1126
bench_dsmem_pingpong,8,10000,4432059,2181131.3976,443.2059,218.1131
bench_dsmem_pingpong,9,10000,4432048,2181125.9843,443.2048,218.1126
