variant,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_pipeline,8192,8192,64,477.126718750,0.018003466,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,64,474.675546875,0.018096434,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,64,474.059218750,0.018119961,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,64,782.608437500,0.010976031,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,64,778.357187500,0.011035980,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,64,781.857578125,0.010986572,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,128,474.708164062,0.036190381,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k128_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,128,474.967187500,0.036170644,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k128_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_pipeline,8192,8192,128,474.804843750,0.036183012,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/sw_m8192_n8192_k128_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
warp_specialized,8192,8192,128,781.826562500,0.021974016,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_071852/ws_m8192_n8192_k128_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
