variant,schedule,ab_stages,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_stage6,sw_pipeline,6,8192,8192,64,0.069873600,122.935337399,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/sw6_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,64,0.069806399,123.053683796,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/sw6_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,64,0.069861441,122.956734230,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/sw6_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,64,0.068015680,126.293445165,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/sw7_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,64,0.068032322,126.262552098,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/sw7_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,64,0.067926402,126.459437383,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/sw7_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,64,0.053520002,160.499518169,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/ws6_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,64,0.053536639,160.449641931,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/ws6_m8192_n8192_k64_r1.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,64,0.053569279,160.351880737,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/ws6_m8192_n8192_k64_r2.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage7,warp_specialized,7,8192,8192,64,,,100,0,1,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_101625/ws7_m8192_n8192_k64_r0.log,"/workspace/Roofline-Analysis/.venv/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized_stage7.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
