variant,schedule,ab_stages,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
sw_stage6,sw_pipeline,6,8192,8192,64,0.069876480,122.930270377,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k64_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,64,0.069776320,123.106729270,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k64_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,64,0.069768000,123.121411467,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k64_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,64,0.067893438,126.520836212,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k64_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,64,0.068048959,126.231682985,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k64_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,64,0.067980480,126.358839589,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k64_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,64,0.053507838,160.536005061,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k64_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,64,0.053483200,160.609959394,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k64_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,64,0.053476801,160.629178344,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k64_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,64 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,128,0.073880000,232.537481827,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k128_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,128 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
