benchmark,dtype,mode,streams,loop_iters,unroll,repeats,hmma_steps_per_mma,mean_cycles_per_mma,median_cycles_per_mma,stddev_cycles_per_mma,min_cycles_per_mma,max_cycles_per_mma,mean_cycles_per_hmma_step
bench_empty,none,empty,0,4096,1,10,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,16,10,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,2,10,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,4,10,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,8,10,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,1,10,2,0.00048828,0.00048828,0.00000000,0.00048828,0.00048828,0.00024414
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,16,10,2,0.00003052,0.00003052,0.00000000,0.00003052,0.00003052,0.00001526
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,2,10,2,0.00024414,0.00024414,0.00000000,0.00024414,0.00024414,0.00012207
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,4,10,2,0.00012207,0.00012207,0.00000000,0.00012207,0.00012207,0.00006104
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,8,10,2,0.00006104,0.00006104,0.00000000,0.00006104,0.00006104,0.00003052
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,1,10,2,111.01540527,111.00952148,0.00720645,111.00952148,111.02441406,55.50770264
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,16,10,2,11.62662659,11.62644958,0.00069310,11.62551880,11.62738037,5.81331329
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,2,10,2,56.50697021,56.50476074,0.00337517,56.50476074,56.51220703,28.25348511
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,4,10,2,28.50458984,28.50238037,0.00295133,28.50238037,28.50982666,14.25229492
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4096,8,10,2,14.00246582,14.00207520,0.00143210,14.00119019,14.00491333,7.00123291
bench_mma_f16_indep,f16_f16_f16_f16,indep,2,4096,1,10,2,58.01031494,58.00585938,0.00593574,58.00585938,58.02075195,29.00515747
