benchmark,dtype,mode,streams,loop_iters,unroll,repeats,mean_cycles,median_cycles,stddev_cycles,hmma_steps_per_mma,mean_cycles_per_mma,median_cycles_per_mma,stddev_cycles_per_mma,min_cycles_per_mma,max_cycles_per_mma,mean_cycles_per_hmma_step
bench_empty,none,empty,0,4096,1,10,286798.30,286780.00,27.95,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,16,10,819291.70,819310.00,27.95,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,2,10,286810.50,286780.00,49.18,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,4,10,393300.40,393276.00,48.80,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty,none,empty,0,4096,8,10,565343.70,565362.00,39.06,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,1,10,2.00,2.00,0.00,2,0.00048828,0.00048828,0.00000000,0.00048828,0.00048828,0.00024414
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,16,10,2.00,2.00,0.00,2,0.00003052,0.00003052,0.00000000,0.00003052,0.00003052,0.00001526
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,2,10,2.00,2.00,0.00,2,0.00024414,0.00024414,0.00000000,0.00024414,0.00024414,0.00012207
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,4,10,2.00,2.00,0.00,2,0.00012207,0.00012207,0.00000000,0.00012207,0.00012207,0.00006104
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4096,8,10,2.00,2.00,0.00,2,0.00006104,0.00006104,0.00000000,0.00006104,0.00006104,0.00003052
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,1,10,2.00,2.00,0.00,4,0.00048828,0.00048828,0.00000000,0.00048828,0.00048828,0.00012207
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,16,10,2.00,2.00,0.00,4,0.00003052,0.00003052,0.00000000,0.00003052,0.00003052,0.00000763
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,2,10,2.00,2.00,0.00,4,0.00024414,0.00024414,0.00000000,0.00024414,0.00024414,0.00006104
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,4,10,2.00,2.00,0.00,4,0.00012207,0.00012207,0.00000000,0.00012207,0.00012207,0.00003052
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,4096,8,10,2.00,2.00,0.00,4,0.00006104,0.00006104,0.00000000,0.00006104,0.00006104,0.00001526
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,1,10,2.00,2.00,0.00,4,0.00024414,0.00024414,0.00000000,0.00024414,0.00024414,0.00006104
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,16,10,2.00,2.00,0.00,4,0.00001526,0.00001526,0.00000000,0.00001526,0.00001526,0.00000381
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,2,4096,2,10,2.00,2.00,0.00,4,0.00012207,0.00012207,0.00000000,0.00012207,0.00012207,0.00003052
