benchmark,mode,loop_iters,unroll,streams,mean_cycles,matched_empty_mean_cycles,delta_cycles,dep_mean_cycles_per_mma,matched_empty_mean_cycles_per_mma,delta_cycles_per_mma,delta_cycles_per_hmma_step
bench_mma_f16_dep,dep,4096,1,1,454719.20,254016.50,200702.70,111.01542968,62.01574707,48.99968261,24.49984130
bench_mma_f16_dep,dep,4096,16,1,761937.90,254016.50,507921.40,11.62624969,3.87598419,7.75026550,3.87513275
bench_mma_f16_dep,dep,4096,2,1,462935.50,254004.30,208931.20,56.51068115,31.00638428,25.50429687,12.75214844
bench_mma_f16_dep,dep,4096,4,1,467031.20,254010.40,213020.80,28.50532227,15.50356446,13.00175781,6.50087891
bench_mma_f16_dep,dep,4096,8,1,458827.00,254010.40,204816.60,14.00228882,7.75178223,6.25050659,3.12525330
bench_mma_f32acc,fixedc,4096,1,1,397402.70,340033.40,57369.30,97.02214355,83.01596680,14.00617675,3.50154419
bench_mma_f32acc,fixedc_indep,4096,1,2,700501.40,405586.60,294914.80,85.51042480,49.51008300,36.00034180,9.00008545
bench_mma_f32acc,fixedc_indep,4096,1,4,1171560.30,536648.40,634911.90,71.50636597,32.75441895,38.75194702,9.68798676
bench_mma_f32acc,fixedc_indep,4096,1,8,577643.10,798949.70,-221306.60,17.62826843,24.38200989,-6.75374146,-1.68843537
bench_mma_f32acc,fixedc,4096,16,1,335937.20,1290358.50,-954421.30,5.12599487,19.68930816,-14.56331329,-3.64082832
bench_mma_f32acc,fixedc_indep,4096,16,2,618588.40,2351274.40,-1732686.00,4.71945496,17.93880005,-13.21934509,-3.30483627
bench_mma_f32acc,fixedc_indep,4096,16,4,991361.50,4448556.50,-3457195.00,3.78174401,16.96989631,-13.18815230,-3.29703807
bench_mma_f32acc,fixedc_indep,4096,16,8,1740948.00,15479081.20,-13738133.20,3.32059479,29.52400436,-26.20340957,-6.55085239
bench_mma_f32acc,fixedc,4096,2,1,376916.50,397377.40,-20460.90,46.01031494,48.50798340,-2.49766846,-0.62441711
bench_mma_f32acc,fixedc_indep,4096,2,2,680016.10,528461.60,151554.50,41.50488892,32.25473633,9.25015259,2.31253815
bench_mma_f32acc,fixedc_indep,4096,2,4,1126529.10,790632.00,335897.10,34.37893982,24.12817383,10.25076599,2.56269150
bench_mma_f32acc,fixedc_indep,4096,2,8,868453.00,1315070.90,-446617.90,13.25154114,20.06638947,-6.81484833,-1.70371208
bench_mma_f32acc,fixedc,4096,4,1,364634.50,520269.70,-155635.20,22.25552368,31.75474243,-9.49921875,-2.37480469
bench_mma_f32acc,fixedc_indep,4096,4,2,659553.60,782425.90,-122872.30,20.12797852,23.87774353,-3.74976501,-0.93744125
bench_mma_f32acc,fixedc_indep,4096,4,4,1081460.90,1306746.40,-225285.50,16.50178375,19.93936768,-3.43758393,-0.85939598
bench_mma_f32acc,fixedc_indep,4096,4,8,1159290.40,3007010.40,-1847720.00,8.84468384,22.94166870,-14.09698486,-3.52424622
bench_mma_f32acc,fixedc,4096,8,1,340034.30,774248.20,-434213.90,10.37702332,23.62817993,-13.25115661,-3.31278915
bench_mma_f32acc,fixedc_indep,4096,8,2,634979.70,1298554.50,-663574.80,9.68902130,19.81436920,-10.12534790,-2.53133698
bench_mma_f32acc,fixedc_indep,4096,8,4,1036406.30,2375846.30,-1339440.00,7.90715256,18.12626877,-10.21911621,-2.55477905
bench_mma_f32acc,fixedc_indep,4096,8,8,1450107.40,5124215.30,-3674107.90,5.53172074,19.54733009,-14.01560935,-3.50390234
