benchmark,mode,loop_iters,unroll,streams,mean_cycles,raw_empty_mean_cycles,delta_vs_raw_empty_cycles,delta_vs_raw_empty_cycles_per_mma,delta_vs_raw_empty_cycles_per_hmma_step,matched_empty_mean_cycles,delta_vs_matched_empty_cycles,delta_vs_matched_empty_cycles_per_mma,delta_vs_matched_empty_cycles_per_hmma_step
bench_mma_f16_dep,dep,4096,1,1,454725.30,286810.50,167914.80,40.99482422,20.49741211,254022.60,200702.70,48.99968262,24.49984131
bench_mma_f16_dep,dep,4096,16,1,761938.80,819334.40,-57395.60,-0.87578735,-0.43789368,254016.50,507922.30,7.75027924,3.87513962
bench_mma_f16_dep,dep,4096,2,1,462935.40,286804.40,176131.00,21.50036621,10.75018311,254010.40,208925.00,25.50354004,12.75177002
bench_mma_f16_dep,dep,4096,4,1,467025.50,393312.60,73712.90,4.49907837,2.24953918,254004.30,213021.20,13.00178223,6.50089111
bench_mma_f16_dep,dep,4096,8,1,458832.50,565331.50,-106499.00,-3.25009155,-1.62504578,254004.30,204828.20,6.25086060,3.12543030
bench_mma_f32acc,fixedc,4096,1,1,397390.40,286810.50,110579.90,26.99704590,6.74926147,340033.40,57357.00,14.00317383,3.50079346
bench_mma_f32acc,fixedc_indep,4096,1,2,700501.00,286810.50,413690.50,50.49932861,12.62483215,405574.40,294926.60,36.00178223,9.00044556
bench_mma_f32acc,fixedc_indep,4096,1,4,1171566.20,286810.50,884755.70,54.00120239,13.50030060,536678.90,634887.30,38.75044556,9.68761139
bench_mma_f32acc,fixedc_indep,4096,1,8,577630.70,286810.50,290820.20,8.87512817,2.21878204,798967.70,-221337.00,-6.75466919,-1.68866730
bench_mma_f32acc,fixedc,4096,16,1,335961.50,819334.40,-483372.90,-7.37568512,-1.84392128,1290346.30,-954384.80,-14.56275635,-3.64068909
bench_mma_f32acc,fixedc_indep,4096,16,2,618570.30,819334.40,-200764.10,-1.53170853,-0.38292713,2351280.50,-1732710.20,-13.21952972,-3.30488243
bench_mma_f32acc,fixedc_indep,4096,16,4,991355.40,819334.40,172021.00,0.65620804,0.16405201,4448550.40,-3457195.00,-13.18815231,-3.29703808
bench_mma_f32acc,fixedc_indep,4096,16,8,1740972.40,819334.40,921638.00,1.75788498,0.43947124,15479093.40,-13738121.00,-26.20338631,-6.55084658
bench_mma_f32acc,fixedc,4096,2,1,376910.50,286804.40,90106.10,10.99927979,2.74981995,397401.80,-20491.30,-2.50137939,-0.62534485
bench_mma_f32acc,fixedc_indep,4096,2,2,680015.30,286804.40,393210.90,23.99968872,5.99992218,528461.60,151553.70,9.25010376,2.31252594
bench_mma_f32acc,fixedc_indep,4096,2,4,1126504.30,286804.40,839699.90,25.62560730,6.40640182,790625.90,335878.40,10.25019531,2.56254883
bench_mma_f32acc,fixedc_indep,4096,2,8,868465.20,286804.40,581660.80,8.87543945,2.21885986,1315070.90,-446605.70,-6.81466217,-1.70366554
bench_mma_f32acc,fixedc,4096,4,1,364628.50,393312.60,-28684.10,-1.75073853,-0.43768463,520275.80,-155647.30,-9.49995728,-2.37498932
bench_mma_f32acc,fixedc_indep,4096,4,2,659541.80,393312.60,266229.20,8.12467041,2.03116760,782438.10,-122896.30,-3.75049744,-0.93762436
bench_mma_f32acc,fixedc_indep,4096,4,4,1081448.70,393312.60,688136.10,10.50012360,2.62503090,1306746.40,-225297.70,-3.43777008,-0.85944252
bench_mma_f32acc,fixedc_indep,4096,4,8,1159290.30,393312.60,765977.70,5.84394608,1.46098652,3007008.40,-1847718.10,-14.09697037,-3.52424259
bench_mma_f32acc,fixedc,4096,8,1,340052.60,565331.50,-225278.90,-6.87496643,-1.71874161,774229.90,-434177.30,-13.25003967,-3.31250992
bench_mma_f32acc,fixedc_indep,4096,8,2,634973.70,565331.50,69642.20,1.06265564,0.26566391,1298548.40,-663574.70,-10.12534637,-2.53133659
bench_mma_f32acc,fixedc_indep,4096,8,4,1036406.30,565331.50,471074.80,3.59401550,0.89850388,2375846.30,-1339440.00,-10.21911621,-2.55477905
bench_mma_f32acc,fixedc_indep,4096,8,8,1450125.90,565331.50,884794.40,3.37522278,0.84380569,5124225.10,-3674099.20,-14.01557617,-3.50389404
